hostname pl_name sy_dist rastr decstr sy_kmag st_mass st_rad st_raderr1 st_raderr2 st_teff pl_tranmid pl_tranmiderr1 pl_tranmiderr2 pl_rade pl_radeerr1 pl_radeerr2 pl_bmasse pl_bmasseerr1 pl_bmasseerr2 pl_orbper pl_orbpererr1 pl_orbpererr2 pl_orbsmax pl_orbincl pl_orbeccen pl_orbeccenerr1 pl_orbeccenerr2 tran_flag rv_flag
"GJ 1132" "GJ 1132 b" 12.613 10h14m50.18s -47d09m17.77s 8.322 0.18 0.21 0.01 -0.01 3270.0 2457184.55759 0.0003 -0.0003 1.13 0.056 -0.056 1.66 0.23 -0.23 1.628931 2.7e-05 -2.7e-05 0.0153 86.58 0.22 "" "" 1 1
"GJ 1252" "GJ 1252 b" 20.373 20h27m42.88s -56d27m44.23s 7.915 0.38 0.39 0.02 -0.02 3458.0 2458668.09748 0.00032 -0.00032 1.18 0.078 -0.078 1.32 0.28 -0.28 0.5182416 6.9e-07 -6.9e-07 0.00915 84.8 0.0 "" "" 1 1
"GJ 3473" "GJ 3473 b" 27.3644 08h02m22.47s +03d20m13.79s 8.829001 0.36 0.36 0.01 -0.01 3347.0 2458492.20408 0.00043 -0.00042 1.264 0.05 -0.049 1.86 0.3 -0.3 1.1980035 1.8e-06 -1.9e-06 0.01589 87.95 0.0 "" "" 1 1
"GJ 357" "GJ 357 b" 9.44181 09h36m01.79s -21d39m54.23s 6.475 0.34 0.34 0.02 -0.02 3505.0 2458517.99862 0.00039 -0.00038 1.217 0.084 -0.083 1.84 0.31 -0.31 3.93072 8e-05 -6e-05 0.035 89.12 "" "" "" 1 1
"GJ 367" "GJ 367 b" 9.41263 09h44m29.15s -45d46m44.46s 5.78 0.45 0.46 0.01 -0.01 3522.0 2458544.1348 0.0004 -0.0004 0.718 0.054 -0.054 0.546 0.078 -0.078 0.321962 1e-05 -1.2e-05 0.0071 80.75 0.0 "" "" 1 1
"GJ 3929" "GJ 3929 b" 15.8095 15h58m18.62s +35d24m29.21s 7.869 0.31 0.32 0.01 -0.01 3384.0 2458956.3962 0.0005 -0.0005 1.09 0.04 -0.04 1.75 0.44 -0.45 2.616235 5e-06 -5e-06 0.0252 88.442 0.0 "" "" 1 1
"GJ 486" "GJ 486 b" 8.07426 12h47m55.57s +09d44m57.91s 6.362 0.32 0.33 0.01 -0.01 3340.0 2458931.15935 0.00042 -0.00042 1.305 0.063 -0.067 2.82 0.11 -0.12 1.467119 3.1e-05 -3e-05 0.01734 88.4 0.05 "" "" 1 1
"HD 260655" "HD 260655 b" 10.0055 06h37m09.97s +17d33m58.57s 5.862 0.44 0.44 0.0 -0.0 3803.0 2459497.9102 0.0003 -0.0003 1.24 0.023 -0.023 2.14 0.34 -0.34 2.76953 3e-05 -3e-05 0.02933 87.35 0.039 0.043 -0.023 1 1
"HD 260655" "HD 260655 c" 10.0055 06h37m09.97s +17d33m58.57s 5.862 0.44 0.44 0.0 -0.0 3803.0 2459490.3646 0.0004 -0.0004 1.533 0.051 -0.046 3.09 0.48 -0.48 5.70588 7e-05 -7e-05 0.04749 87.79 0.038 0.036 -0.022 1 1
K2-129 "K2-129 b" 27.7957 19h16m35.65s -25d38m46.76s 8.852 0.36 0.36 0.03 -0.03 3459.09 2457335.009 0.001 -0.001 1.04 0.1 -0.09 1.12 "" "" 8.239493 0.000292 -0.000291 0.057 89.21 0.13 0.210105 -0.109504 1 0
K2-239 "K2-239 b" 31.0849 10h42m22.59s +04d26m28.95s 9.971 0.4 0.36 0.01 -0.01 3420.0 2457908.191 "" "" 1.1 0.1 -0.1 1.37 "" "" 5.24 0.001 -0.001 0.0441 88.99 "" "" "" 1 0
K2-239 "K2-239 c" 31.0849 10h42m22.59s +04d26m28.95s 9.971 0.4 0.36 0.01 -0.01 3420.0 2457916.86 "" "" 1.0 0.1 -0.1 0.972 "" "" 7.775 0.001 -0.001 0.0576 88.77 "" "" "" 1 0
K2-239 "K2-239 d" 31.0849 10h42m22.59s +04d26m28.95s 9.971 0.4 0.36 0.01 -0.01 3420.0 2457908.381 "" "" 1.1 0.1 -0.1 1.37 "" "" 10.115 0.001 -0.001 0.0685 89.43 "" "" "" 1 0
"L 98-59" "L 98-59 b" 10.6194 08h18m07.89s -68d18m52.08s 7.101 0.27 0.3 0.03 -0.02 3415.0 2458366.17067 0.00036 -0.00033 0.85 0.061 -0.047 0.4 0.16 -0.15 2.2531136 1.2e-06 -1.5e-06 0.02191 87.71 0.103 0.117 -0.045 1 1
"L 98-59" "L 98-59 c" 10.6194 08h18m07.89s -68d18m52.08s 7.101 0.27 0.3 0.03 -0.02 3415.0 2458367.27375 0.00013 -0.00022 1.385 0.095 -0.075 2.22 0.26 -0.25 3.6906777 1.6e-06 -2.6e-06 0.0304 88.11 0.103 0.045 -0.058 1 1
"L 98-59" "L 98-59 d" 10.6194 08h18m07.89s -68d18m52.08s 7.101 0.27 0.3 0.03 -0.02 3415.0 2458362.73974 0.00031 -0.0004 1.521 0.119 -0.098 1.94 0.28 -0.28 7.4507245 8.1e-06 -4.6e-06 0.0486 88.449 0.074 0.057 -0.046 1 1
"LHS 1140" "LHS 1140 b" 14.9861 00h44m59.67s -15d16m26.79s 8.821 0.19 0.21 0.0 -0.0 2988.0 2458399.9303 0.0012 -0.0013 1.635 0.046 -0.046 6.38 0.46 -0.44 24.73694 0.00041 -0.0004 0.0957 89.877 0.096 "" "" 1 1
"LHS 1140" "LHS 1140 c" 14.9861 00h44m59.67s -15d16m26.79s 8.821 0.19 0.21 0.0 -0.0 2988.0 2458389.29383 0.00081 -0.00082 1.169 0.037 -0.038 1.76 0.17 -0.16 3.77792 3e-05 -3e-05 0.02734 89.913 0.274 "" "" 1 1
"LHS 1478" "LHS 1478 b" 18.2276 02h57m21.33s +76d33m05.06s 8.767 0.24 0.25 0.01 -0.01 3381.0 2458786.75425 0.00042 -0.00042 1.242 0.051 -0.049 2.33 0.2 -0.2 1.9495378 4e-06 -4.1e-06 0.01848 87.452 "" "" "" 1 1
"LHS 1678" "LHS 1678 b" 19.8782 04h32m42.96s -39d47m27.15s 8.264 0.35 0.33 0.01 -0.01 3490.0 2459121.168814 0.00522 -0.00385 0.696 0.044 -0.044 0.35 "" "" 0.8602322 6.8e-06 -6.8e-06 0.01251 87.55 0.25 "" "" 1 0
"LHS 1678" "LHS 1678 c" 19.8782 04h32m42.96s -39d47m27.15s 8.264 0.35 0.33 0.01 -0.01 3490.0 2459120.360617 0.00399 -0.0031 0.982 0.064 -0.063 1.4 "" "" 3.694247 2.4e-06 -2.1e-06 0.0331 89.09 0.22 "" "" 1 0
"LHS 1815" "LHS 1815 b" 29.8424 06h04m21.60s -55d18m41.54s 7.993 0.5 0.5 0.03 -0.03 3643.0 2458327.4161 0.0016 -0.0016 1.088 0.064 -0.064 8.7 "" "" 3.81433 3e-05 -3e-05 0.0404 88.125 0.0 "" "" 1 0
"LHS 3844" "LHS 3844 b" 14.8846 22h41m59.09s -69d10m19.59s 9.145001 0.15 0.19 0.01 -0.01 3036.0 2458325.72558 0.00025 -0.00025 1.303 0.022 -0.022 2.25 "" "" 0.46292913 1.9e-06 -1.9e-06 0.00622 88.5 "" "" "" 1 0
"LP 791-18" "LP 791-18 b" 26.4927 11h02m45.72s -16d24m23.20s 10.644 0.14 0.17 0.02 -0.02 2960.0 2458645.94405 0.00066 -0.00066 1.12 0.13 -0.13 1.46 "" "" 0.948005 5.8e-06 -5.8e-06 0.00969 87.3 0.0 "" "" 1 0
"LP 890-9" "LP 890-9 b" 32.4298 04h16m31.42s -28d18m56.85s 11.344 0.12 0.16 0.01 -0.01 2850.0 2459447.82637 0.00014 -0.00014 1.32 0.053 -0.027 13.2 "" "" 2.7299025 3.4e-06 -4e-06 0.01875 89.67 "" "" "" 1 0
"LP 890-9" "LP 890-9 c" 32.4298 04h16m31.42s -28d18m56.85s 11.344 0.12 0.16 0.01 -0.01 2850.0 2459520.70598 0.00031 -0.00031 1.367 0.055 -0.039 25.3 "" "" 8.457463 2.4e-05 -2.4e-05 0.03984 89.287 "" "" "" 1 0
"LTT 1445 A" "LTT 1445 A b" 6.86929 03h01m50.99s -16d35m40.18s 6.496 0.26 0.27 0.01 -0.01 3340.0 2458412.70851 0.0004 -0.00039 1.305 0.066 -0.061 2.87 0.26 -0.25 5.3587657 4.3e-06 -4.2e-06 0.03813 89.68 0.11 "" "" 1 1
"LTT 1445 A" "LTT 1445 A c" 6.86929 03h01m50.99s -16d35m40.18s 6.496 0.26 0.27 0.01 -0.01 3340.0 2458412.58159 0.00059 -0.00057 1.147 0.055 -0.054 1.54 0.2 -0.19 3.1239035 3.4e-06 -3.6e-06 0.02661 87.43 0.223 "" "" 1 1
"LTT 3780" "LTT 3780 b" 21.9814 10h18m34.78s -11d43m04.08s 8.204001 0.4 0.37 0.01 -0.01 3331.0 2458543.9115 0.0011 -0.0011 1.332 0.072 -0.075 2.62 0.48 -0.46 0.768448 5.5e-05 -5.3e-05 0.01211 87.1 0.0 "" "" 1 1
TOI-1266 "TOI-1266 c" 36.0118 13h11m59.18s +65d50m01.31s 8.84 0.45 0.42 0.02 -0.02 3600.0 2458821.5706 0.0034 -0.0029 1.56 0.15 -0.13 2.2 2.0 -1.5 18.80151 0.00067 -0.00069 0.1058 89.3 0.04 0.03 -0.03 1 1
TOI-1452 "TOI-1452 b" 30.5212 19h20m41.75s +73d11m42.39s 9.74 0.25 0.28 0.01 -0.01 3185.0 2458691.5321 0.0015 -0.0015 1.672 0.071 -0.071 4.82 1.3 -1.3 11.06201 2e-05 -2e-05 0.061 89.77 0.0 "" "" 1 1
TOI-1468 "TOI-1468 b" 24.7399 01h06m36.93s +19d13m29.71s 8.497 0.34 0.34 0.01 -0.01 3496.0 2458765.68079 0.0007 -0.00069 1.28 0.038 -0.039 3.21 0.24 -0.24 1.8805136 2.4e-06 -2.6e-06 "" 88.47 "" "" "" 1 1
TOI-1634 "TOI-1634 b" 35.2736 03h45m33.75s +37d06m44.21s 8.6 0.5 0.45 0.01 -0.01 3550.0 2458791.51473 0.00061 -0.00061 1.79 0.08 -0.081 4.91 0.68 -0.7 0.989343 1.5e-05 -1.5e-05 0.01545 88.2 0.16 "" "" 1 1
TOI-1685 "TOI-1685 b" 37.6153 04h34m22.55s +43d02m13.34s 8.758 0.5 0.49 0.02 -0.02 3434.0 2458816.22615 0.00059 -0.0006 1.7 0.07 -0.07 3.78 0.63 -0.63 0.6691403 2.3e-06 -2.1e-06 0.011557 84.74 0.0 "" "" 1 1
TOI-1693 "TOI-1693 b" 30.7947 06h01m14.00s +34d46m23.13s 8.331 0.49 0.46 0.01 -0.01 3499.0 2458817.6827 0.0014 -0.0014 1.41 0.1 -0.1 2.57 "" "" 1.7666957 5.4e-06 -5.4e-06 0.0226 "" "" "" "" 1 0
TOI-237 "TOI-237 b" 38.0749 23h32m58.45s -29d24m59.35s 10.896 0.18 0.21 0.01 -0.01 3212.0 2458697.7198 0.000796 -0.000815 1.44 0.12 -0.12 2.67 "" "" 5.436098 3.9e-05 -3.9e-05 0.0341 89.5 0.0 "" "" 1 0
TOI-270 "TOI-270 b" 22.4793 04h33m39.86s -51d57m26.62s 8.251 0.39 0.38 0.01 -0.01 3506.0 2458387.09505 0.00074 -0.00074 1.206 0.039 -0.039 1.58 0.26 -0.26 3.3601538 4.8e-06 -4.8e-06 0.03197 89.39 0.034 0.025 -0.025 1 1
TOI-540 "TOI-540 b" 14.0022 05h05m14.33s -47d56m15.14s 8.9 0.16 0.19 0.01 -0.01 3216.0 2458411.82601 0.00046 -0.00046 0.903 0.052 -0.052 0.674 "" "" 1.2391491 1.7e-06 -1.7e-06 0.01223 86.8 0.0 "" "" 1 0
TOI-700 "TOI-700 b" 31.1265 06h28m22.97s -65d34m43.01s 8.634 0.42 0.42 0.02 -0.02 3461.0 2458490.9867 0.0027 -0.0029 1.037 0.065 -0.064 1.11 "" "" 9.97702 0.00024 -0.00028 0.0677 89.66 0.081 0.095 -0.058 1 0
TOI-776 "TOI-776 b" 27.1701 11h54m18.72s -37d33m12.08s 7.615 0.54 0.54 0.02 -0.02 3709.0 2458571.4167 0.001 -0.0011 1.85 0.13 -0.13 4.0 0.9 -0.9 8.24661 5e-05 -4e-05 0.0652 89.65 0.06 0.03 -0.02 1 1
TRAPPIST-1 "TRAPPIST-1 b" 12.4298888 23h06m30.33s -05d02m36.46s 10.296 0.09 0.12 0.0 -0.0 2566.0 2457322.514193 3e-06 -3e-06 1.116 0.014 -0.012 1.374 0.069 -0.069 1.510826 6e-06 -6e-06 0.01154 89.728 0.00622 0.00304 -0.00304 1 0
TRAPPIST-1 "TRAPPIST-1 c" 12.4298888 23h06m30.33s -05d02m36.46s 10.296 0.09 0.12 0.0 -0.0 2566.0 2457282.811387 4e-06 -4e-06 1.097 0.014 -0.012 1.308 0.056 -0.056 2.421937 1.8e-05 -1.8e-05 0.0158 89.778 0.00654 0.00188 -0.00188 1 0
TRAPPIST-1 "TRAPPIST-1 d" 12.4298888 23h06m30.33s -05d02m36.46s 10.296 0.09 0.12 0.0 -0.0 2566.0 2457670.146301 1.8e-05 -1.8e-05 0.788 0.011 -0.01 0.388 0.012 -0.012 4.049219 2.6e-05 -2.6e-05 0.02227 89.896 0.00837 0.00093 -0.00093 1 0
TRAPPIST-1 "TRAPPIST-1 e" 12.4298888 23h06m30.33s -05d02m36.46s 10.296 0.09 0.12 0.0 -0.0 2566.0 2457660.367662 1.4e-05 -1.4e-05 0.92 0.013 -0.012 0.692 0.022 -0.022 6.101013 3.5e-05 -3.5e-05 0.02925 89.793 0.0051 0.00058 -0.00058 1 0
TRAPPIST-1 "TRAPPIST-1 f" 12.4298888 23h06m30.33s -05d02m36.46s 10.296 0.09 0.12 0.0 -0.0 2566.0 2457671.37373 1.6e-05 -1.6e-05 1.045 0.013 -0.012 1.039 0.031 -0.031 9.20754 3.2e-05 -3.2e-05 0.03849 89.74 0.01007 0.00068 -0.00068 1 0
TRAPPIST-1 "TRAPPIST-1 g" 12.4298888 23h06m30.33s -05d02m36.46s 10.296 0.09 0.12 0.0 -0.0 2566.0 2457665.362844 2.1e-05 -2.1e-05 1.129 0.015 -0.013 1.321 0.038 -0.038 12.352446 5.4e-05 -5.4e-05 0.04683 89.742 0.00208 0.00058 -0.00058 1 0
TRAPPIST-1 "TRAPPIST-1 h" 12.4298888 23h06m30.33s -05d02m36.46s 10.296 0.09 0.12 0.0 -0.0 2566.0 2457662.574149 9.1e-05 -9.1e-05 0.755 0.014 -0.014 0.326 0.02 -0.02 18.772866 0.000214 -0.000214 0.06189 89.805 0.00567 0.00121 -0.00121 1 0
