hostname,pl_name,sy_dist,rastr,decstr,sy_kmag,st_mass,st_rad,st_raderr1,st_raderr2,st_teff,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbper,pl_orbsmax,pl_orbincl,tran_flag,rv_flag,pl_rp_rs,pl_teq_a0,filter,subarray,nobs
GJ 1132,GJ 1132 b,12.613,10h14m50.18s,-47d09m17.77s,8.322,0.18,0.21,0.01,-0.01,3270,1.13,0.056,-0.056,1.66,0.23,-0.23,1.628931,0.0153,88.68,1,1,0.04933197122,584.1777107,f1500w,sub256,4
GJ 367,GJ 367 b,9.41263,09h44m29.15s,-45d46m44.46s,5.78,0.45,0.46,0.01,-0.01,3522,0.718,0.054,-0.054,0.546,0.078,-0.078,0.321962,0.0071,80.75,1,1,0.01430987807,1367.012201,f1500w,sub256,4
GJ 486,GJ 486 b,8.07426,12h47m55.57s,+09d44m57.91s,6.362,0.32,0.33,0.01,-0.01,3340,1.305,0.063,-0.067,2.82,0.11,-0.12,1.467119,0.01734,88.4,1,1,0.03625483163,702.6065401,f1500w,sub256,4
L 98-59,L 98-59 c,10.6194,08h18m07.89s,-68d18m52.08s,7.101,0.27,0.3,0.03,-0.02,3415,1.34,0.07,-0.07,2.42,0.35,-0.34,3.6906777,0.0304,88.11,1,1,0.04094990178,517.306388,f1500w,sub256,4
LHS 1140,LHS 1140 b,14.9861,00h44m59.67s,-15d16m26.79s,8.821,0.19,0.21,0.0035,-0.0035,2988,1.635,0.046,-0.046,6.38,0.46,-0.44,24.73694,0.0957,89.877,1,1,0.07137856013,213.435949,f1500w,sub256,4
LHS 1140,LHS 1140 c,14.9861,00h44m59.67s,-15d16m26.79s,8.821,0.19,0.21,0.0035,-0.0035,2988,1.169,0.037,-0.038,1.76,0.17,-0.16,3.77792,0.02734,89.913,1,1,0.05103457908,399.3229614,f1500w,sub256,4
LHS 1478,LHS 1478 b,18.2276,02h57m21.33s,+76d33m05.06s,8.767,0.24,0.25,0.01,-0.01,3381,1.242,0.051,-0.049,2.33,0.2,-0.2,1.9495378,0.01848,87.452,1,1,0.04554606986,599.6495188,f1500w,sub256,4
LTT 1445 A,LTT 1445 A b,6.86929,03h01m50.99s,-16d35m40.18s,6.496,0.26,0.27,0.01,-0.01,3340,1.305,0.066,-0.061,2.87,0.26,-0.25,5.3587657,0.03813,89.68,1,1,0.04431146088,428.5763917,f1500w,sub256,4
LTT 3780,LTT 3780 b,21.9814,10h18m34.78s,-11d43m04.08s,8.204001,0.4,0.37,0.01,-0.01,3331,1.32,0.06,-0.06,2.47,0.24,-0.24,0.768448,0.01211,87.1,1,1,0.03270706152,887.8441163,f1500w,sub256,4
TOI-1468,TOI-1468 b,24.7399,01h06m36.93s,+19d13m29.71s,8.497,0.34,0.34,0.01,-0.01,3496,1.28,0.038,-0.039,3.21,0.24,-0.24,1.8805136,0.02102086,88.47,1,1,0.03451440361,677.9832124,f1500w,sub256,4
TOI-1634,TOI-1634 b,35.2736,03h45m33.75s,+37d06m44.21s,8.6,0.5,0.45,0.01,-0.01,3550,1.773,0.077,-0.077,7.57,0.71,-0.72,0.989343,0.01545,88.2,1,1,0.03612148052,923.8546858,f1500w,sub256,4
TRAPPIST-1,TRAPPIST-1 c,12.4298888,23h06m30.33s,-05d02m36.46s,10.296,0.0898,0.12,0.0013,-0.0013,2566,1.097,0.014,-0.012,1.308,0.056,-0.056,2.421937,0.0158,89.778,1,0,0.08380978032,340.9981552,f1500w,full,4
TRAPPIST-1,TRAPPIST-1 d,12.4298888,23h06m30.33s,-05d02m36.46s,10.296,0.0898,0.12,0.0013,-0.0013,2566,0.788,0.011,-0.01,0.388,0.012,-0.012,4.049219,0.02227,89.896,1,0,0.06020246754,287.2238269,f1500w,sub256,4
