hostname,pl_name,sy_dist,rastr,decstr,sy_kmag,st_mass,st_rad,st_raderr1,st_raderr2,st_teff,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbper,pl_orbsmax,pl_orbincl,tran_flag,rv_flag,pl_rp_rs,pl_g,pl_teq_a0,pl_s
GJ 1132,GJ 1132 b,12.613,10h14m50.18s,-47d09m17.77s,8.322,0.18,0.21,0.01,-0.01,3270.0,1.13,0.056,-0.056,1.66,0.23,-0.23,1.628931,0.0153,88.68,1,1,0.04933197122459734,12.738147781260333,584.1777106923882,19.33914494051029
GJ 3473,GJ 3473 b,27.3644,08h02m22.47s,+03d20m13.79s,8.829001,0.36,0.36,0.01,-0.01,3347.0,1.264,0.05,-0.049,1.86,0.3,-0.3,1.1980035,0.01589,87.95,1,1,0.0321894750291473,11.407064002554433,768.2070915703122,57.83231621613784
GJ 357,GJ 357 b,9.44181,09h36m01.79s,-21d39m54.23s,6.475,0.34,0.34,0.02,-0.02,3505.0,1.217,0.084,-0.083,1.84,0.31,-0.31,3.93072,0.035,89.12,1,1,0.03281564780289002,12.17283537042799,526.7769415618036,12.786873373040743
GJ 486,GJ 486 b,8.07426,12h47m55.57s,+09d44m57.91s,6.362,0.32,0.33,0.01,-0.01,3340.0,1.305,0.063,-0.067,2.82,0.11,-0.12,1.467119,0.01734,88.4,1,1,0.03625483162805283,16.22494252107156,702.6065400502282,40.46747345932615
HD 260655,HD 260655 b,10.0055,06h37m09.97s,+17d33m58.57s,5.862,0.44,0.439,0.003,-0.003,3803.0,1.24,0.023,-0.023,2.14,0.34,-0.34,2.76953,0.02933,87.35,1,1,0.02589563026767422,13.63720864077306,709.4729664292033,42.072735108287475
L 98-59,L 98-59 c,10.6194,08h18m07.89s,-68d18m52.08s,7.101,0.27,0.3,0.03,-0.02,3415.0,1.34,0.07,-0.07,2.42,0.35,-0.34,3.6906777,0.0304,88.11,1,1,0.04094990177758612,13.20568249247054,517.3063880405923,11.891830329088151
LHS 1140,LHS 1140 c,14.9861,00h44m59.67s,-15d16m26.79s,8.821,0.19,0.21,0.0035,-0.0035,2988.0,1.169,0.037,-0.038,1.76,0.17,-0.16,3.77792,0.02734,89.913,1,1,0.05103457908102151,12.61940060872384,399.3229614135901,4.2223523461028085
LHS 1478,LHS 1478 b,18.2276,02h57m21.33s,+76d33m05.06s,8.767,0.24,0.25,0.01,-0.01,3381.0,1.242,0.051,-0.049,2.33,0.2,-0.2,1.9495378,0.01848,87.452,1,1,0.045546069857697276,14.800207739484296,599.6495187649439,21.470754020600786
LTT 1445 A,LTT 1445 A b,6.86929,03h01m50.99s,-16d35m40.18s,6.496,0.26,0.27,0.01,-0.01,3340.0,1.305,0.066,-0.061,2.87,0.26,-0.25,5.3587657,0.03813,89.68,1,1,0.044311460878731244,16.512618806906165,428.5763916968226,5.6023509996997785
LTT 3780,LTT 3780 b,21.9814,10h18m34.78s,-11d43m04.08s,8.204001,0.4,0.37,0.01,-0.01,3331.0,1.32,0.06,-0.06,2.47,0.24,-0.24,0.768448,0.01211,87.1,1,1,0.032707061524655315,13.89006163347313,887.8441162766738,103.18206671400262
TOI-1468,TOI-1468 b,24.7399,01h06m36.93s,+19d13m29.71s,8.497,0.34,0.34,0.01,-0.01,3496.0,1.28,0.038,-0.039,3.21,0.24,-0.24,1.8805136,0.02102086,88.47,1,1,0.03451440360534036,19.197301030931996,677.9832124158797,35.08593869199558
TOI-1634,TOI-1634 b,35.2736,03h45m33.75s,+37d06m44.21s,8.6,0.5,0.45,0.01,-0.01,3550.0,1.773,0.077,-0.077,7.57,0.71,-0.72,0.989343,0.01545,88.2,1,1,0.03612148052321402,23.59573392574965,923.8546857765012,120.96841828189426
TOI-270,TOI-270 b,22.4793,04h33m39.86s,-51d57m26.62s,8.251,0.39,0.38,0.01,-0.01,3506.0,1.206,0.039,-0.039,1.58,0.26,-0.26,3.3601538,0.03197,89.39,1,1,0.029095982841969084,10.64431095709798,582.8619296384281,19.165497515761714
