hostname,pl_name,sy_dist,rastr,decstr,sy_vmag,sy_jmag,sy_kmag,st_mass,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_lum,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbincl,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,tran_flag,rv_flag,pl_rp_rs,pl_g,pl_teq_a0,pl_s,pl_rho,filter,subarray,nobs
GJ 1132,GJ 1132 b,12.613,10h14m50.18s,-47d09m17.77s,13.68,9.245,8.322,0.18,0.21,0.01,-0.01,3270.0,140.0,-140.0,4.88,-2.359,2458031.60114,0.00011,-0.00011,1.13,0.056,-0.056,1.66,0.23,-0.23,1.628931,2.7e-05,-2.7e-05,0.0153,0.0005,-0.0005,88.68,0.22,,,0.05041,0.00086,-0.00086,16.0,1.1,-1.1,1,1,0.04933197122459734,12.738147781260333,59.174052722636766,19.33914494051029,6.321820820766592,f1500w,sub256,1
GJ 1252,GJ 1252 b,20.373,20h27m42.88s,-56d27m44.23s,12.68,8.697,7.915,0.38,0.39,0.02,-0.02,3458.0,140.0,-133.0,4.89,-1.708,2458668.09744,0.00091,-0.00091,1.193,0.074,-0.074,1.32,0.28,-0.28,0.5182331,8.4e-06,-8.4e-06,0.00915,0.00015,-0.00015,85.0,0.0,,,0.02802,0.0009,-0.0009,5.03,0.27,-0.27,1,1,0.02804433571794503,9.08757746286398,40.380185554252485,233.2262940929395,4.271909317567947,f1500w,sub256,1
GJ 3473,GJ 3473 b,27.3644,08h02m22.47s,+03d20m13.79s,13.74,9.627,8.829001,0.36,0.36,0.01,-0.01,3347.0,54.0,-54.0,4.81,-1.824,2458492.20412163,0.00037015,-0.00037015,1.264,0.05,-0.049,1.86,0.3,-0.3,1.198003975976397,5.76582216e-07,-5.76582216e-07,0.01589,0.00062,-0.00062,87.95,0.0,,,0.03184,0.00069,-0.00067,9.39,0.19,-0.21,1,1,0.0321894750291473,11.407064002554433,46.69880718148012,57.83231621613784,5.06105605260494,f1500w,sub256,1
GJ 357,GJ 357 b,9.44181,09h36m01.79s,-21d39m54.23s,10.91,7.337,6.475,0.34,0.34,0.02,-0.02,3505.0,51.0,-51.0,4.94,-1.798,2458517.998679131,0.0003765,-0.0003765,1.2,0.06,-0.06,1.84,0.31,-0.31,3.9306063296116895,1.16151077e-06,-1.16151077e-06,0.036,0.0004,-0.0004,89.228,,,,0.0309,0.001,-0.001,22.89,1.211,-1.211,1,1,0.032357253380006584,12.520175393022097,61.73686046354067,12.086357933622619,5.851180690174534,f1500w,sub256,1
GJ 367,GJ 367 b,9.41263,09h44m29.15s,-45d46m44.46s,10.153,6.632,5.78,0.46,0.46,0.01,-0.01,3522.0,70.0,-70.0,4.78,-1.539,2458544.13635,0.0004,-0.0004,0.699,0.024,-0.024,0.633,0.05,-0.05,0.3219225,2e-07,-2e-07,0.00709,0.00027,-0.00027,79.89,0.06,0.07,-0.04,0.01399,0.00028,-0.00028,3.41,0.06,-0.07,1,1,0.013931204417196313,12.694173811786657,35.52976589326141,581.5286680862166,10.184544442765395,f1500w,sub256,1
GJ 486,GJ 486 b,8.07426,12h47m55.57s,+09d44m57.91s,11.39,7.195,6.362,0.32,0.33,0.01,-0.01,3340.0,54.0,-54.0,4.89,-1.917,2458931.15935,0.00042,-0.00042,1.305,0.063,-0.067,2.82,0.11,-0.12,1.467119,3.1e-05,-3e-05,0.01734,0.00026,-0.00027,88.4,0.05,,,,,,,,,1,1,0.03625483162805283,16.22494252107156,49.74759860291007,40.46747345932615,6.972475520481929,f1500w,sub256,1
GJ 806,GJ 806 b,12.0445,20h45m04.73s,+44d30m00.85s,10.79,7.329,6.533,0.41,0.41,0.0,-0.0,3600.0,16.0,-16.0,4.98,-1.585,2459445.57371,0.00015,-0.00015,1.331,0.023,-0.023,1.9,0.17,-0.17,0.9263237,9e-07,-9e-07,0.01406,0.0003,-0.0003,87.7,,,,0.0294,0.0004,-0.0004,,,,1,1,0.029762096432089803,10.508786575213602,45.648578057626516,128.2323510945459,4.42780880356472,f1500w,sub256,1
HD 260655,HD 260655 b,10.0055,06h37m09.97s,+17d33m58.57s,9.63,6.674,5.862,0.44,0.439,0.003,-0.003,3803.0,10.0,-10.0,5.2,-1.44,2459497.9102,0.0003,-0.0003,1.24,0.023,-0.023,2.14,0.34,-0.34,2.76953,3e-05,-3e-05,0.02933,0.00024,-0.00024,87.35,0.039,0.043,-0.023,0.02586,0.00046,-0.00046,14.43,0.29,-0.29,1,1,0.02589563026767422,13.63720864077306,56.00701572606737,42.072735108287475,6.167627593216154,f1500w,sub256,1
HD 260655,HD 260655 c,10.0055,06h37m09.97s,+17d33m58.57s,9.63,6.674,5.862,0.44,0.439,0.003,-0.003,3803.0,10.0,-10.0,5.2,-1.44,2459490.3646,0.0004,-0.0004,1.533,0.051,-0.046,3.09,0.48,-0.48,5.70588,7e-05,-7e-05,0.04749,0.00039,-0.00039,87.79,0.038,0.036,-0.022,0.032,0.001,-0.001,23.37,0.47,-0.47,1,1,0.03201451709705208,12.883363239876724,63.17786696736472,16.047985852036135,4.713043408436272,f1500w,sub256,1
L 98-59,L 98-59 c,10.6194,08h18m07.89s,-68d18m52.08s,11.685,7.933,7.101,0.27,0.3,0.03,-0.02,3415.0,135.0,-135.0,4.86,-1.948,2458367.27375,0.00013,-0.00022,1.34,0.07,-0.07,2.42,0.35,-0.34,3.6906777,1.6e-06,-2.6e-06,0.0304,0.0011,-0.0012,88.11,0.103,0.045,-0.058,0.04088,0.00068,-0.00056,,,,1,1,0.04094990177758612,13.20568249247054,61.38592831517491,11.891830329088151,5.5267573282965365,f1500w,sub256,1
L 98-59,L 98-59 d,10.6194,08h18m07.89s,-68d18m52.08s,11.685,7.933,7.101,0.27,0.3,0.03,-0.02,3415.0,135.0,-135.0,4.86,-1.948,2458362.73974,0.00031,-0.0004,1.58,0.08,-0.08,2.31,0.46,-0.45,7.4507245,8.1e-06,-4.6e-06,0.0486,0.0018,-0.0019,88.449,0.074,0.057,-0.046,0.0448,0.00106,-0.001,,,,1,1,0.04828421254372095,9.066776032998103,69.02549015930687,4.652895864845344,3.2181786099660825,f1500w,sub256,1
LHS 1140,LHS 1140 b,14.9861,00h44m59.67s,-15d16m26.79s,14.15,9.612001,8.821,0.18,0.22,0.0035,-0.0035,3096.0,48.0,-48.0,5.04,-2.42,2458399.93,0.0003,-0.0003,1.73,0.025,-0.025,5.6,0.19,-0.19,24.73723,2e-05,-2e-05,0.0946,0.0017,-0.0017,89.86,0.043,,,0.0739,8e-05,-8e-05,95.34,1.06,-1.06,1,1,0.07209294105348438,18.333733017658126,86.31429885334224,0.44612588933959924,5.943183539600405,f1500w,sub256,1
LHS 1140,LHS 1140 c,14.9861,00h44m59.67s,-15d16m26.79s,14.15,9.612001,8.821,0.18,0.22,0.0035,-0.0035,3096.0,48.0,-48.0,5.04,-2.42,2458389.2942323,0.00062395,-0.00062395,1.272,0.026,-0.026,1.91,0.06,-0.06,3.777939728,5.83523921e-06,-5.83523921e-06,0.027,0.0005,-0.0005,89.8,0.05,,,0.05486,0.00013,-0.00013,26.57,0.05,-0.05,1,1,0.05300706417342898,11.566826640627275,63.088602018347686,5.476614490867447,5.099662771584602,f1500w,sub256,1
LHS 1478,LHS 1478 b,18.2276,02h57m21.33s,+76d33m05.06s,13.304,9.615,8.767,0.24,0.25,0.01,-0.01,3381.0,54.0,-54.0,4.87,-2.146,2458786.75425,0.00042,-0.00042,1.242,0.051,-0.049,2.33,0.2,-0.2,1.9495378,4e-06,-4.1e-06,0.01848,0.00061,-0.00063,87.452,,,,0.0462,0.0011,-0.001,16.119,0.088,-0.094,1,1,0.045546069857697276,14.800207739484296,58.78560734525718,21.470754020600786,6.682832228969028,f1500w,sub256,1
LTT 1445 A,LTT 1445 A b,6.86929,03h01m50.99s,-16d35m40.18s,10.59,7.294,6.496,0.26,0.27,0.01,-0.01,3340.0,150.0,-150.0,4.97,-2.046,2459152.2189,0.0005,-0.0005,1.18,0.06,-0.06,2.87,0.26,-0.25,5.35876,1e-05,-1e-05,0.022,0.003,-0.003,89.203,0.19,0.35,-0.14,0.0408,0.001,-0.001,29.963,3.128,-3.128,1,1,0.04006706807425507,20.1963535217117,58.370122703687876,16.829009816478116,9.59854266632875,f1500w,sub256,1
LTT 1445 A,LTT 1445 A c,6.86929,03h01m50.99s,-16d35m40.18s,10.59,7.294,6.496,0.26,0.27,0.01,-0.01,3340.0,150.0,-150.0,4.95,-2.046,2458412.58159,0.00059,-0.00057,1.147,0.055,-0.054,1.54,0.2,-0.19,3.1239035,3.4e-06,-3.6e-06,0.02661,0.00047,-0.00049,87.43,0.223,,,0.0396,0.0018,-0.0017,21.56,0.78,-0.82,1,1,0.03894654837387336,11.469618348499424,61.21335099820781,11.5030809568069,5.607895239456659,f1500w,sub256,1
LTT 3780,LTT 3780 b,21.9814,10h18m34.78s,-11d43m04.08s,13.14,9.007,8.204001,0.38,0.38,0.01,-0.01,3358.0,92.0,-92.0,4.85,-1.783,2458543.91281,0.00048,-0.00052,1.32,0.06,-0.06,2.47,0.24,-0.24,0.768377,1.4e-06,-1.4e-06,0.01203,0.00028,-0.00029,85.9,0.064,0.075,-0.046,0.03212,0.00068,-0.00072,6.79,0.29,-0.25,1,1,0.031846349379269646,13.89006163347313,42.53786137970316,113.90669096037125,5.901257760073781,f1500w,sub256,1
TOI-1450 A,TOI-1450 A b,22.4467,19h07m24.98s,+59d05m11.85s,12.28,8.457,7.565,0.48,0.48,0.03,-0.03,3437.0,86.0,-86.0,4.76,-1.565,2458685.34221,0.00042,-0.00042,1.13,0.043,-0.043,1.258,0.128,-0.128,2.0439274,1e-06,-1e-06,,,,86.245,,,,,,,,,,1,1,0.02158273741076134,9.653367414955119,0.0,inf,4.790873850918298,f1500w,sub256,1
TOI-1468,TOI-1468 b,24.7399,01h06m36.93s,+19d13m29.71s,12.5,9.343,8.497,0.34,0.34,0.01,-0.01,3496.0,25.0,-25.0,5.0,-1.797,2458765.68079,0.0007,-0.00069,1.28,0.038,-0.039,3.21,0.24,-0.24,1.8805136,2.4e-06,-2.6e-06,0.02102086,,,88.47,,,,0.03451440360534036,0.00145196377909941,-0.00145196377909941,13.14,0.21,-0.24,1,1,0.03451440360534036,19.197301030931996,53.82882955889001,35.08593869199558,8.410940260139574,f1500w,sub256,1
TOI-1634,TOI-1634 b,35.2736,03h45m33.75s,+37d06m44.21s,13.217,9.484,8.6,0.45,0.45,0.02,-0.02,3472.0,70.0,-70.0,4.79,-1.578,2458791.5146,0.0021,-0.0021,1.773,0.077,-0.077,7.57,0.71,-0.72,0.9893455,6e-06,-6e-06,0.01545,0.00014,-0.00014,86.98,0.0,,,0.0356,0.001,-0.001,7.38,0.2,-0.2,1,1,0.03612148052321402,23.59573392574965,43.02550058627428,110.68211665552758,7.463440890079669,f1500w,sub256,1
TOI-1685,TOI-1685 b,37.6153,04h34m22.55s,+43d02m13.34s,13.378,9.616,8.758,0.5,0.49,0.02,-0.02,3434.0,51.0,-51.0,4.85,-1.519,2458816.22649,0.00096,-0.00096,1.7,0.07,-0.07,3.09,0.59,-0.58,0.6691406,3.6e-06,-3.6e-06,0.011557,9.2e-05,-9.2e-05,84.74,0.0,,,0.0317,0.001,-0.001,5.158,0.019,-0.018,1,1,0.031806959955176545,10.476487969909568,37.925724023286044,224.436571939627,3.4560589384420126,f1500w,sub256,1
